,open,high,low,close,volume,money
2015-05-11,3.9,3.94,3.83,3.94,720678489.0,2796222720.0
2015-05-12,3.95,3.95,3.88,3.93,590671971.0,2315241984.0
2015-05-13,3.94,3.97,3.89,3.91,591597826.0,2320210944.0
2015-05-14,3.92,3.93,3.86,3.88,565202420.0,2200069120.0
2015-05-15,3.88,3.88,3.81,3.84,607638792.0,2333028864.0
2015-05-18,3.81,3.84,3.78,3.78,447715629.0,1703567872.0
2015-05-19,3.78,3.9,3.77,3.89,641095659.0,2471092992.0
2015-05-20,3.89,3.96,3.87,3.9,663587671.0,2592655872.0
2015-05-21,3.9,3.97,3.89,3.94,535004159.0,2103803904.0
2015-05-22,3.97,4.05,3.95,4.03,754551164.0,3026571008.0
2015-05-25,4.05,4.12,4.05,4.12,670932863.0,2740220672.0
2015-05-26,4.13,4.14,4.09,4.12,648773708.0,2667503872.0
2015-05-27,4.13,4.13,4.03,4.06,782090454.0,3187843840.0
2015-05-28,4.06,4.06,3.84,3.86,906197869.0,3597809664.0
2015-05-29,3.84,3.89,3.78,3.84,711734414.0,2730794496.0
2015-06-01,3.84,3.97,3.81,3.96,1013596025.0,3949707776.0
2015-06-02,3.94,3.97,3.89,3.94,685884695.0,2689808128.0
2015-06-03,3.94,3.97,3.88,3.94,587679635.0,2300977408.0
2015-06-04,3.94,4.07,3.88,4.04,1158546173.0,4623463424.0
2015-06-05,4.09,4.13,3.96,4.03,1155770683.0,4673268224.0
2015-06-08,4.03,4.27,4.01,4.26,2280598835.0,9499321344.0
2015-06-09,4.28,4.31,4.13,4.18,1734615363.0,7303845888.0
2015-06-10,4.12,4.15,4.09,4.11,984961641.0,4060887296.0
2015-06-11,4.1,4.13,4.05,4.1,657527446.0,2687770368.0
2015-06-12,4.11,4.12,4.06,4.12,641070841.0,2625858304.0
2015-06-15,4.13,4.17,4.02,4.03,925216713.0,3785027584.0
2015-06-16,4.0,4.06,3.94,3.96,705346616.0,2823396864.0
2015-06-17,4.0,4.03,3.94,4.0,640592842.0,2553292544.0
2015-06-18,3.98,3.98,3.84,3.87,668441567.0,2624346880.0
2015-06-19,3.84,3.89,3.75,3.76,752795681.0,2884750080.0
2015-06-23,3.78,3.94,3.77,3.92,908599197.0,3499038720.0
2015-06-24,3.92,3.97,3.88,3.95,640907605.0,2513574656.0
2015-06-25,4.02,4.04,3.88,3.9,709549045.0,2819105024.0
2015-06-26,3.87,3.91,3.67,3.77,1024969331.0,3910574592.0
2015-06-29,3.81,3.86,3.56,3.84,1213989446.0,4584033792.0
2015-06-30,3.83,4.0,3.78,4.0,1275011857.0,4972056576.0
2015-07-01,3.94,3.97,3.87,3.89,800934941.0,3141718272.0
2015-07-02,3.9,4.15,3.81,4.12,1892794838.0,7516680704.0
